transaction_id,customer_id,date_id,payment_method_id,coupon_id,total_amount,sales_factor
1,506,20230722,1,1,11300000.0,0.7
2,23275,20240701,2,2,11053000.0,0.9
3,24101,20221101,3,3,12741000.0,0.8
4,24188,20220204,4,2,4921000.0,0.6
5,33766,20220206,3,3,2163000.0,0.7
6,30177,20230830,3,6,3153000.0,0.7
7,48010,20240731,4,1,5219000.0,0.8
8,30338,20220114,2,6,3050000.0,0.9
9,41354,20240809,4,1,11502000.0,0.8
10,16463,20220930,3,2,9889000.0,0.5
11,34900,20220806,3,1,5083000.0,0.9
12,21294,20231030,4,1,4495000.0,0.8
13,1439,20220214,2,2,4418000.0,0.8
14,9120,20220729,14,1,11211000.0,0.8
15,2078,20230630,3,1,5669000.0,0.9
16,47105,20220214,1,3,3719000.0,0.8
17,45356,20230312,4,1,15797000.0,0.8
18,15363,20220103,4,2,8246000.0,0.7
19,15366,20230108,14,1,5353000.0,0.8
20,12347,20240903,3,3,2166000.0,0.5
21,35311,20241126,4,6,5794000.0,0.9
22,47865,20230205,14,3,9344000.0,0.8
23,40384,20231216,14,2,17793000.0,0.9
24,10336,20240120,3,3,12833000.0,0.9
25,29630,20220626,2,1,2538000.0,0.5
26,48541,20230928,3,1,989000.0,0.7
27,42067,20240212,14,1,10346000.0,0.9
28,1158,20240531,4,6,12601000.0,0.8
29,581,20221103,2,6,1739000.0,0.8
30,16822,20240907,1,6,5017000.0,0.8
31,28033,20230422,14,6,10941000.0,0.7
32,43601,20231022,3,2,16334000.0,0.9
33,3324,20231106,14,3,15821000.0,0.9
34,1719,20230112,1,3,15985000.0,0.8
35,5308,20231016,2,3,3375000.0,0.9
36,18109,20221025,4,1,2555000.0,0.8
37,17494,20240421,4,1,13664000.0,0.7
38,47128,20230113,2,2,3385000.0,0.9
39,11128,20220423,1,1,1577000.0,0.8
40,30273,20241219,2,6,1975000.0,0.8
41,12483,20220116,3,6,13004000.0,0.9
42,28061,20220113,1,3,13853000.0,0.8
43,27776,20220411,1,3,1813000.0,0.7
44,11978,20221102,14,3,9809000.0,0.7
45,27513,20231030,2,2,9975000.0,0.5
46,2379,20231128,2,2,5457000.0,0.6
47,20000,20230920,3,3,6895000.0,0.7
48,20950,20220722,1,1,12665000.0,0.8
49,21556,20221022,14,2,12199000.0,0.7
50,25663,20241004,4,2,3866000.0,0.6
51,4334,20240104,3,6,9077000.0,0.8
52,24594,20221015,14,1,9287000.0,0.5
53,14849,20220527,2,1,4152000.0,0.7
54,46868,20241206,3,6,1799000.0,0.8
55,27343,20220627,1,2,5465000.0,0.7
56,40290,20220521,14,3,3991000.0,0.9
57,39975,20220722,2,6,9793000.0,0.8
58,7007,20241214,1,3,10477000.0,0.8
59,27807,20240801,2,2,6631000.0,0.8
60,31449,20231114,2,6,4420000.0,0.8
61,31372,20230408,3,3,1766000.0,0.8
62,24475,20240115,4,6,11154000.0,0.8
63,43448,20230617,14,6,3081000.0,0.8
64,13281,20241217,2,1,6189000.0,0.9
65,18470,20230530,4,3,12524000.0,0.8
66,39177,20230821,3,3,4948000.0,0.8
67,29539,20230316,4,3,9859000.0,0.8
68,7982,20230828,14,3,4087000.0,0.9
69,316,20230714,1,6,4204000.0,0.5
70,25328,20230725,1,2,5567000.0,0.5
71,25749,20230925,2,3,8948000.0,0.9
72,2689,20221019,1,3,11774000.0,0.7
73,3531,20241123,3,1,1949000.0,0.8
74,25383,20220904,1,3,4412000.0,0.9
75,43083,20220911,3,1,6043000.0,0.9
76,15598,20240417,3,3,11369000.0,0.9
77,29014,20231116,1,1,4797000.0,0.8
78,7160,20221030,2,6,5276000.0,0.8
79,12296,20220901,14,1,5687000.0,0.6
80,15070,20230822,2,6,4484000.0,0.8
81,9101,20220408,14,1,12178000.0,0.9
82,21273,20231127,1,1,10828000.0,0.6
83,34304,20240119,14,2,8500000.0,0.8
84,275,20231209,1,6,13494000.0,0.8
85,18092,20230324,3,1,12324000.0,0.8
86,15492,20240113,2,3,2144000.0,0.8
87,10711,20240922,14,6,7980000.0,0.6
88,29902,20220211,4,6,7536000.0,0.8
89,23692,20221104,4,2,11231000.0,0.9
90,34991,20230812,4,1,1426000.0,0.6
91,13714,20221202,3,2,9060000.0,0.7
92,30472,20230812,1,3,723000.0,0.7
93,3658,20240425,3,6,5947000.0,0.8
94,34102,20231009,1,6,2154000.0,0.5
95,43212,20240313,14,1,1314000.0,0.8
96,46502,20230926,2,2,2242000.0,0.6
97,39435,20230605,1,2,3139000.0,0.9
98,41524,20220905,1,1,13961000.0,0.9
99,3973,20240514,1,6,2641000.0,0.6
100,28253,20231207,3,2,1788000.0,0.8
101,25981,20221007,3,2,7901000.0,0.9
102,17308,20240903,14,6,1127000.0,0.8
103,7256,20240722,2,3,12412000.0,0.8
104,41748,20241026,4,2,3421000.0,0.8
105,30910,20231205,2,1,3616000.0,0.8
106,22838,20240514,3,2,14214000.0,0.9
107,16780,20221107,3,2,14352000.0,0.8
108,27998,20230216,3,6,4238000.0,0.8
109,45148,20220516,3,6,3632000.0,0.8
110,41502,20220224,2,2,6924000.0,0.6
111,25780,20220306,3,3,7862000.0,0.8
112,7001,20230519,14,1,13316000.0,0.9
113,5621,20220608,14,1,10371000.0,0.8
114,5013,20240731,14,6,10344000.0,0.7
115,28110,20231027,3,2,5515000.0,0.8
116,23770,20231014,4,3,5042000.0,0.8
117,19357,20220122,14,2,876000.0,0.6
118,5833,20240131,14,3,9084000.0,0.8
119,14898,20240913,4,2,8487000.0,0.9
120,14448,20231225,1,6,2042000.0,0.9
121,31988,20240523,4,3,13984000.0,0.7
122,3015,20220721,14,3,16096000.0,0.9
123,48119,20230911,1,3,15317000.0,0.8
124,45757,20220609,1,2,670000.0,0.6
125,6421,20230521,2,2,4165000.0,0.6
126,5754,20220904,3,1,7948000.0,0.5
127,13450,20220814,2,1,3990000.0,0.6
128,44441,20230927,1,1,4249000.0,0.9
129,11309,20220331,3,3,9526000.0,0.9
130,45098,20240509,4,2,6679000.0,0.9
131,41412,20230219,2,3,1206000.0,0.7
132,44828,20240331,4,6,7598000.0,0.9
133,5784,20240210,4,6,5195000.0,0.5
134,15448,20220331,1,1,5212000.0,0.6
135,21324,20241121,1,1,4961000.0,0.8
