transaction_id,date_id,city_id,shipping_method_id,delivery_category_id
1,20230722,1,1,1
2,20240701,2,1,2
3,20221101,2,3,3
4,20220204,4,3,3
5,20220206,1,5,1
6,20230830,1,6,2
7,20240731,1,3,3
8,20220114,8,3,3
9,20240809,1,6,1
10,20220930,1,1,1
11,20220806,1,11,2
12,20231030,1,6,3
13,20220214,2,11,3
14,20220729,14,11,2
15,20230630,1,6,3
16,20220214,2,5,2
17,20230312,1,3,3
18,20220103,4,3,3
19,20230108,2,3,1
20,20240903,1,3,3
21,20241126,1,1,1
22,20230205,1,3,1
23,20231216,2,6,1
24,20240120,4,6,2
25,20220626,8,5,1
26,20230928,2,6,1
27,20240212,1,3,1
28,20240531,1,5,3
29,20221103,1,1,2
30,20240907,2,1,3
31,20230422,1,3,3
32,20231022,14,5,2
33,20231106,1,5,1
34,20230112,1,1,1
35,20231016,2,11,2
36,20221025,1,6,2
37,20240421,1,1,3
38,20230113,1,5,3
39,20220423,1,5,3
40,20241219,1,6,3
41,20220116,2,11,2
42,20220113,1,3,2
43,20220411,1,11,2
44,20221102,1,3,3
45,20231030,4,6,1
46,20231128,1,6,3
47,20230920,1,3,1
48,20220722,1,5,3
49,20221022,1,5,1
50,20241004,8,1,1
51,20240104,1,6,1
52,20221015,1,6,3
53,20220527,2,5,2
54,20241206,4,3,3
55,20220627,4,3,3
56,20220521,14,5,2
57,20220722,4,1,1
58,20241214,1,5,2
59,20240801,2,1,1
60,20231114,8,5,3
61,20230408,4,6,2
62,20240115,1,5,3
63,20230617,1,5,3
64,20241217,1,6,1
65,20230530,65,1,1
66,20230821,65,1,3
67,20230316,1,1,2
68,20230828,14,5,2
69,20230714,2,3,3
70,20230725,8,6,1
71,20230925,1,3,1
72,20221019,1,3,1
73,20241123,2,3,3
74,20220904,8,3,3
75,20220911,1,5,1
76,20240417,2,1,2
77,20231116,1,6,3
78,20221030,1,3,2
79,20220901,2,1,3
80,20230822,1,1,3
81,20220408,2,3,1
82,20231127,4,3,3
83,20240119,65,11,3
84,20231209,1,1,2
85,20230324,1,1,2
86,20240113,86,1,1
87,20240922,2,11,2
88,20220211,65,5,1
89,20221104,1,5,1
90,20230812,1,1,2
91,20221202,1,5,2
92,20230812,1,3,3
93,20240425,65,6,2
94,20231009,8,6,1
95,20240313,2,1,2
96,20230926,2,11,2
97,20230605,8,6,2
98,20220905,65,3,1
99,20240514,1,11,2
100,20231207,1,11,3
101,20221007,2,5,1
102,20240903,1,6,1
103,20240722,1,11,3
104,20241026,2,5,1
105,20231205,2,3,2
106,20240514,65,11,3
107,20221107,1,5,1
108,20230216,1,6,1
109,20220516,1,11,2
110,20220224,1,1,3
111,20220306,1,1,1
112,20230519,14,6,1
113,20220608,4,1,3
114,20240731,2,11,2
115,20231027,1,3,1
116,20231014,1,5,2
117,20220122,1,3,1
118,20240131,1,5,1
119,20240913,1,11,2
120,20231225,2,6,1
121,20240523,65,3,2
122,20220721,1,11,1
123,20230911,2,3,2
124,20220609,1,1,3
125,20230521,1,5,2
126,20220904,86,6,1
127,20220814,1,11,3
128,20230927,2,1,1
129,20220331,86,11,2
130,20240509,1,5,1
131,20230219,2,1,3
132,20240331,2,1,1
133,20240210,1,11,2
134,20220331,2,5,2
135,20241121,8,6,3
136,20221229,1,5,1
137,20230101,1,1,1
